Unnamed: 0,IMSDB_Title,RT_Title,CriticScore,AudienceScore,CriticScoreCategory
264,Cedar-Rapids,Cedar-Rapids,86.0,59.0,certified fresh
266,Cell,Cell,11.0,17.0,rotten
267,Cell,Cell,45.0,57.0,rotten
268,Cellular,Cellular,55.0,59.0,rotten
269,Change-Up,Change-Up,25.0,47.0,rotten
270,Changeling,Changeling,62.0,82.0,fresh
271,Changeling,Changeling,83.0,79.0,certified fresh
273,Charade,Charade,94.0,92.0,certified fresh
274,Charlie's-Angels,Charlie's-Angels,68.0,45.0,fresh
275,Charlie's-Angels,Charlie's-Angels,52.0,78.0,rotten
276,Chasing-Amy,Chasing-Amy,87.0,83.0,certified fresh
279,Chinatown,Chinatown,99.0,93.0,certified fresh
281,Chronicle,Chronicle,85.0,71.0,certified fresh
283,Cider-House-Rules,Cider-House-Rules,71.0,77.0,fresh
284,Cincinnati-Kid,Cincinnati-Kid,82.0,78.0,certified fresh
286,Cirque-du-Freak-The-Vampire's-Assistant,Cirque-du-Freak:-The-Vampire's-Assistant,38.0,42.0,rotten
287,Citizen-Kane,Citizen-Kane,100.0,90.0,certified fresh
288,City-of-Joy,City-of-Joy,53.0,75.0,rotten
289,City-of-Joy,City-of-Joy,100.0,60.0,certified fresh
290,Clash-of-the-Titans,Clash-of-the-Titans,68.0,70.0,fresh
291,Clash-of-the-Titans,Clash-of-the-Titans,27.0,40.0,rotten
292,Clerks,Clerks,89.0,89.0,certified fresh
